Article Title	Author	Journal Title	Publication Date	Accession Number	DOI	Anchors	Rater	Comments
Characteristics and clinical treatment of tobacco smokers enrolled in a VA substance use disorders clinic.	Gass, Julie C.; Morris, David H.; Winters, Jamie; VanderVeen, Joseph W.; Chermack, Stephen	Journal of Substance Abuse Treatment	20180101	2017-53812-003	10.1016/j.jsat.2017.10.006	1	sz	
Incidence, prevalence and risk factors related to anxiety symptoms during pregnancy.	Soto-Balbuena, Cristina; de la Fe Rodríguez, María; Escudero Gomis, Ana Isabel; Ferrer Barriendos, Francisco Javier; Le, Huynh-Nhu	Psicothema	20180101	2019-19964-002		0	sz	
Vocational disability in teachers—Influencing factors among a highly burdened sample.	Beutel, Till F.; Adams, Johanna; Becker, Jan; Letzel, Stephan; Rose, Dirk-Matthias	Journal of Vocational Rehabilitation	20180101	2019-19030-010	10.3233/JVR-180970	0	sz	
Acceptability of mHealth augmentation of Collaborative Care: A mixed methods pilot study.	Bauer, Amy M.; Iles-Shih, Matthew; Ghomi, Reza Hosseini; Rue, Tessa; Grover, Tess; Kincler, Naomi; Miller, Monica; Katon, Wayne J.	General Hospital Psychiatry	20180301	2018-13712-006	10.1016/j.genhosppsych.2017.11.010	0	sz	
Anxiety and depression in adult first seizure presentations.	Lane, Ciaran; Crocker, Candice; Legg, Karen; Borden, Mallory; Pohlmann-Eden, Bernd	The Canadian Journal of Neurological Sciences / Le Journal Canadien Des Sciences Neurologiques	20180301	2018-09948-006	10.1017/cjn.2017.285	0	sz	
Internet-based acceptance and commitment therapy for psychological distress experienced by people with hearing problems: A pilot randomized controlled trial.	Molander, Peter; Hesser, Hugo; Weineland, Sandra; Bergwall, Kajsa; Buck, Sonia; Malmlöf, Johan Jäder; Lantz, Henning; Lunner, Thomas; Andersson, Gerhard	Cognitive Behaviour Therapy	20180301	2018-05028-006	10.1080/16506073.2017.1365929	0	sz	
Parental cancer: Characteristics of users of child‐centred counselling versus individual psycho‐oncological treatment.	Inhestern, Laura; Geertz, Wiebke; Schulz‐Kindermann, Frank; Bergelt, Corinna	Psycho-Oncology	20180301	2018-02494-001	10.1002/pon.4618	0	sz	
Predicting suicidal ideation in primary care: An approach to identify easily assessable key variables.	Jordan, Pascal; Shedden-Mora, Meike C.; Löwe, Bernd	General Hospital Psychiatry	20180301	2018-13712-018	10.1016/j.genhosppsych.2018.02.002	1	sz	
Suicidal ideation persists among individuals engaged in HIV care in the era of antiretroviral therapy.	López, J. D.; Shacham, E.; Brown, T.	AIDS and Behavior	20180301	2017-00952-001	10.1007/s10461-016-1666-5	0	sz	
Prospective mental imagery as its link with anxiety and depression in prisoners.	López-Pérez, Belén; Deeprose, Catherine; Hanoch, Yaniv	PLoS ONE	20180315	2018-15132-001	10.1371/journal.pone.0191551	1	sz	
Anxiety and its predictive value for pain and regular analgesic intake after lumbar disc surgery—A prospective observational longitudinal study.	Laufenberg-Feldmann, Rita; Kappis, Bernd; Cámara, Rafael J. A.; Ferner, Marion	BMC Psychiatry	20180327	2018-13624-001	10.1186/s12888-018-1652-8	1	sz	
Pragmatic RAndomised controlled trial of a trauma-focused guided self-help Programme versus InDividual traumafocused cognitive Behavioural therapy for post-traumatic stress disorder (RAPID): Trial protocol.	Nollett, Claire; Lewis, Catrin; Kitchiner, Neil; Roberts, Neil; Addison, Katy; Brookes-Howell, Lucy; Cosgrove, Sarah; Cullen, Katherine; Ehlers, Anke; Heke, Sarah; Kelson, Mark; Lovell, Karina; Madden, Kim; McEwan, Kirsten; McNamara, Rachel; Phillips, Ceri; Pickles, Timothy; Simon, Natalie; Bisson, Jonathan	BMC Psychiatry	20180327	2018-13479-001	10.1186/s12888-018-1665-3	0	sz	
